,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,District,Link
0,3250000,2,40,9,25,балкон,совмещенный,2016,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_925et._2352165773
1,7017200,2,58.8,20,25,балкон,раздельный,2021,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_588m_2025et._2373469418
2,7600000,2,60,14,25,,раздельный,2013,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_1425et._2416858734
3,7500000,3,95,4,16,,,,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_95m_416et._2410344283
4,2399000,1,36,1,9,,раздельный,1986,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_19et._2388695464
5,1240000,1,26.4,2,5,,совмещенный,1973,Свердловский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_264m_25et._2375018527
6,3450000,2,44.3,1,5,,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_443m_15et._2368820532
7,4164160,1,47.3,5,25,лоджия,раздельный,,Пермь,https://www.avito.ru/perm/kvartiry/1-k._kvartira_473m_525et._2264732818
8,3200000,1,23.7,23,25,лоджия,совмещенный,,Пермь,https://www.avito.ru/perm/kvartiry/kvartira-studiya_237m_2325et._2404307396
9,4150000,2,40,2,25,лоджия,совмещенный,,Пермь,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_225et._1995456663
10,4650000,1,46,6,19,лоджия,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_46m_619et._2399327350
11,4800000,3,63.2,6,9,лоджия,совмещенный,1975,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_632m_69et._2407237345
12,3050000,1,30.7,4,5,,совмещенный,1961,Свердловский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_307m_45et._2340451914
13,3090000,3,92.7,3,3,балкон,раздельный,1957,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_927m_33et._2325246634
14,2500000,1,30.3,3,5,балкон,совмещенный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_35et._2416911734
15,700000,1,13.1,1,5,,совмещенный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_131m_15et._2392843232
16,5100000,3,60.6,8,9,,,,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_606m_89et._2380982831
17,3200000,3,58.2,4,5,балкон,раздельный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_582m_45et._2429599098
18,3800000,1,42.1,5,16,балкон,раздельный,2016,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_421m_516et._2373861558
19,2850000,2,42.5,2,5,балкон,совмещенный,1967,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_25et._2427416619
