,Price,Rooms,Area,Floor,Max_house_floor,balcony_or_loggia,Bathroom,Year_built,District,Link
0,3250000,2,40.0,9,25,балкон,совмещенный,2016.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_925et._2352165773
1,7017200,2,58.8,20,25,балкон,раздельный,2021.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_588m_2025et._2373469418
2,4800000,3,63.2,6,9,лоджия,совмещенный,1975.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_632m_69et._2407237345
3,3090000,3,92.7,3,3,балкон,раздельный,1957.0,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_927m_33et._2325246634
4,3800000,1,42.1,5,16,балкон,раздельный,2016.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_421m_516et._2373861558
5,2850000,2,42.5,2,5,балкон,совмещенный,1967.0,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_25et._2427416619
6,3590000,1,30.8,2,5,балкон,совмещенный,1964.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_308m_25et._2342261910
7,3798598,2,42.1,4,5,балкон,совмещенный,1960.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_421m_45et._2321812414
8,3800000,2,50.3,8,9,балкон,совмещенный,1974.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_503m_89et._2366190019
9,3100000,1,33.0,8,17,лоджия,совмещенный,2014.0,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_817et._2383504205
10,4500000,1,41.2,8,16,лоджия,совмещенный,2011.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_412m_816et._2416422642
11,3800000,1,45.0,5,10,лоджия,раздельный,2011.0,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_45m_510et._2400338771
12,4500000,2,49.0,2,25,балкон,совмещенный,2022.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_225et._2426852207
13,3520000,2,44.7,4,5,балкон,совмещенный,1965.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_447m_45et._2373463103
14,3600000,1,40.0,2,25,балкон,совмещенный,2015.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_225et._2401962833
15,10900000,3,87.0,24,25,лоджия,раздельный,2021.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_87m_2425et._2371109381
16,4500000,2,41.5,8,16,балкон,совмещенный,2015.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_415m_816et._2304611968
17,2500000,2,45.5,4,5,балкон,раздельный,1988.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_455m_45et._2414531271
18,4200000,4,73.8,2,9,балкон,раздельный,1983.0,Свердловский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_738m_29et._2426591876
19,4800000,2,62.4,7,16,лоджия,раздельный,2014.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_624m_716et._2394230317
20,18480000,4,136.0,4,10,лоджия,совмещенный,2006.0,Ленинский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_136m_410et._2383564482
21,3000000,1,31.0,2,5,балкон,совмещенный,1961.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2419044744
22,1999000,1,37.0,1,9,лоджия,совмещенный,1994.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_19et._2140194794
23,5700000,3,72.0,4,9,лоджия,совмещенный,1981.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_49et._2411195063
24,8890000,2,61.6,3,25,лоджия,совмещенный,2017.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_616m_325et._2385077352
25,4050000,1,36.2,4,17,лоджия,совмещенный,2019.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_362m_417et._2426857306
26,4350000,2,52.0,1,3,балкон,совмещенный,2011.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_13et._2265527837
27,3550000,2,41.3,5,5,балкон,совмещенный,1969.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_413m_55et._2373564441
28,3500000,1,35.6,14,14,лоджия,совмещенный,1978.0,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_356m_1414et._2421239889
29,3830000,4,61.4,5,5,балкон,раздельный,1972.0,Индустриальный,https://www.avito.ru/perm/kvartiry/4-k._kvartira_614m_55et._2345668440
30,3692000,1,40.0,3,20,лоджия,совмещенный,2017.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_320et._2385346375
31,5700000,3,79.1,5,12,лоджия,совмещенный,1975.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_791m_512et._2402822003
32,3650000,1,35.0,2,5,балкон,совмещенный,1982.0,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_25et._2366512380
33,4500000,2,52.9,3,9,лоджия,раздельный,1986.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_529m_39et._2383144941
34,2600000,2,47.1,5,5,балкон,раздельный,1999.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_471m_55et._2373427244
35,2000000,1,30.3,2,5,балкон,раздельный,1980.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_25et._2367670198
36,3000000,1,38.0,7,10,лоджия,раздельный,2002.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_710et._2391922828
37,6400000,2,55.5,14,17,балкон,раздельный,2006.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_555m_1417et._2386995961
38,3090000,1,34.3,8,10,балкон,раздельный,1992.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_810et._2375626550
39,5000000,2,53.0,9,10,лоджия,раздельный,2008.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_910et._2387701623
40,3500000,2,44.7,3,5,балкон,раздельный,1967.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_447m_35et._2410929435
41,1900000,3,60.0,5,5,балкон,раздельный,1972.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_55et._2429591411
42,4679000,2,54.0,4,10,лоджия,раздельный,1998.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_54m_410et._2353000184
43,4550000,2,43.4,5,9,лоджия,совмещенный,1984.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_434m_59et._2374973335
44,3290000,3,61.4,3,10,лоджия,совмещенный,1989.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_614m_310et._2372102253
45,3500000,1,31.0,4,5,балкон,совмещенный,1970.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_45et._2341740358
46,3850000,2,48.9,5,5,лоджия,раздельный,1989.0,Ленинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_489m_55et._2361455271
47,4500000,1,46.8,15,17,лоджия,совмещенный,2010.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_468m_1517et._2401196193
48,5300000,3,72.0,2,9,лоджия,раздельный,2018.0,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_29et._2374640395
49,6390000,3,71.5,4,16,лоджия,раздельный,1985.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_715m_416et._2341433363
50,3690000,2,51.0,2,5,лоджия,раздельный,1980.0,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_51m_25et._2261049322
51,3790000,2,49.0,4,5,балкон,совмещенный,1989.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_45et._2401899024
52,2550000,1,29.1,3,9,балкон,совмещенный,1983.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_291m_39et._2399797277
53,4100000,1,40.5,7,17,балкон,совмещенный,2014.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_405m_717et._2319872242
54,5500000,3,63.7,6,9,лоджия,раздельный,1988.0,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_637m_69et._2307737738
55,2450000,1,27.7,4,5,балкон,раздельный,1963.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_277m_45et._2389426097
56,4920000,3,68.1,1,10,балкон,раздельный,1992.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_681m_110et._2423972354
57,7000000,2,75.0,3,18,лоджия,совмещенный,2007.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_75m_318et._2350558734
58,10650000,3,110.4,12,25,балкон,раздельный,2018.0,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1104m_1225et._2320403130
59,4150000,2,49.0,5,5,балкон,раздельный,1952.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_55et._2252798527
60,6100000,3,69.9,4,5,балкон,раздельный,1942.0,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_699m_45et._2319523958
61,4599000,2,55.0,5,5,балкон,совмещенный,1952.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_55et._2386462380
62,4000000,3,56.1,3,5,балкон,совмещенный,1962.0,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_561m_35et._2366144526
63,2950000,1,32.0,4,5,балкон,совмещенный,1965.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_45et._2410312404
64,2650000,1,32.7,12,12,лоджия,раздельный,1981.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_327m_1212et._2367389616
65,5100000,2,53.1,11,14,лоджия,раздельный,1980.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_531m_1114et._2407840231
66,4999000,2,51.8,5,10,лоджия,раздельный,2008.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_518m_510et._2384402641
67,6100000,2,66.0,6,17,балкон,совмещенный,2012.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_66m_617et._2372722957
68,4700000,3,66.5,10,16,балкон,раздельный,1986.0,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_665m_1016et._2276459201
69,2600000,2,44.5,5,5,балкон,совмещенный,1968.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_445m_55et._2382513867
70,3200000,2,42.8,5,5,балкон,совмещенный,1970.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_428m_55et._2353073044
