,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
0,4250000,1,40.0,13,25,2019,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_1325et._2382679587
1,4000000,3,61.7,3,5,1977,https://www.avito.ru/perm/kvartiry/3-k._kvartira_617m_35et._2343330669
2,3700000,1,50.0,2,19,2020,https://www.avito.ru/perm/kvartiry/1-k._kvartira_50m_219et._2348936541
3,2990000,1,34.1,4,9,1986,https://www.avito.ru/perm/kvartiry/1-k._kvartira_341m_49et._2393132882
4,3150000,2,49.3,3,12,1982,https://www.avito.ru/perm/kvartiry/2-k._kvartira_493m_312et._2250309842
5,4999900,2,55.0,5,5,1952,https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_55et._2386462380
6,6974000,3,63.0,7,22,2021,https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_722et._2351339882
7,3150000,2,45.0,5,5,1966,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_55et._2394298623
8,2660000,1,37.0,5,9,1989,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_59et._2382776737
9,2160000,2,43.9,1,5,1968,https://www.avito.ru/perm/kvartiry/2-k._kvartira_439m_15et._2381651486
10,5300000,3,67.4,1,9,1986,https://www.avito.ru/perm/kvartiry/3-k._kvartira_674m_19et._2377214251
11,3500000,2,43.0,5,5,1980,https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_55et._2372168805
12,2650000,1,34.0,3,10,2009,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_310et._2416961073
13,3990000,2,50.9,1,9,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_509m_19et._2382341990
14,3000000,2,42.0,1,3,1965,https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_13et._2400382608
15,850000,1,13.0,2,5,1976,https://www.avito.ru/perm/kvartiry/1-k._kvartira_13m_25et._2388762288
16,3200000,1,34.3,1,10,2012,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_110et._2379684128
17,4500000,1,35.0,6,15,1988,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_615et._2213872095
18,3070000,2,43.5,5,5,1966,https://www.avito.ru/perm/kvartiry/2-k._kvartira_435m_55et._2341491415
19,4030000,2,43.6,7,9,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_436m_79et._2329511531
20,4000000,1,38.7,10,10,2004,https://www.avito.ru/perm/kvartiry/1-k._kvartira_387m_1010et._2376861506
21,2150000,1,24.0,4,5,1972,https://www.avito.ru/perm/kvartiry/1-k._kvartira_24m_45et._2377149134
22,3400000,1,38.0,2,16,2016,https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_216et._2392674977
23,4050000,2,45.0,3,5,1965,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_35et._2412027039
24,2100000,1,28.1,2,3,1987,https://www.avito.ru/perm/kvartiry/1-k._kvartira_281m_23et._2402843867
25,1950000,1,21.3,1,9,1978,https://www.avito.ru/perm/kvartiry/kvartira-studiya_213m_45et._2383445923
26,2990000,1,35.0,4,10,1994,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_410et._2374351565
