,Price,Rooms,Area,Floor,Max_house_floor,Year_built,balcony_or_loggia_балкон,balcony_or_loggia_лоджия,Bathroom_раздельный,Bathroom_совмещенный,District_Дзержинский,District_Индустриальный,District_Кировский,District_Ленинский,District_Мотовилихинский,District_Орджоникидзевский,District_Свердловский
0,3250000,2,40.0,9,25,2016.0,1,0,0,1,0,0,0,0,0,1,0
1,7017200,2,58.8,20,25,2021.0,1,0,1,0,0,1,0,0,0,0,0
2,4800000,3,63.2,6,9,1975.0,0,1,0,1,0,1,0,0,0,0,0
3,3090000,3,92.7,3,3,1957.0,1,0,1,0,0,0,1,0,0,0,0
4,3800000,1,42.1,5,16,2016.0,1,0,1,0,0,0,0,0,1,0,0
5,2850000,2,42.5,2,5,1967.0,1,0,0,1,0,0,1,0,0,0,0
6,3590000,1,30.8,2,5,1964.0,1,0,0,1,0,0,0,0,0,0,1
7,3798598,2,42.1,4,5,1960.0,1,0,0,1,0,0,0,0,0,0,1
8,3800000,2,50.3,8,9,1974.0,1,0,0,1,0,1,0,0,0,0,0
9,3100000,1,33.0,8,17,2014.0,0,1,0,1,0,0,1,0,0,0,0
10,4500000,1,41.2,8,16,2011.0,0,1,0,1,0,0,0,0,1,0,0
11,3800000,1,45.0,5,10,2011.0,0,1,1,0,0,0,1,0,0,0,0
12,4500000,2,49.0,2,25,2022.0,1,0,0,1,0,1,0,0,0,0,0
13,3520000,2,44.7,4,5,1965.0,1,0,0,1,0,0,0,0,0,0,1
14,3600000,1,40.0,2,25,2015.0,1,0,0,1,0,0,0,0,1,0,0
15,10900000,3,87.0,24,25,2021.0,0,1,1,0,0,0,0,0,0,0,1
16,4500000,2,41.5,8,16,2015.0,1,0,0,1,0,1,0,0,0,0,0
17,2500000,2,45.5,4,5,1988.0,1,0,1,0,0,0,0,0,0,1,0
18,4200000,4,73.8,2,9,1983.0,1,0,1,0,0,0,0,0,0,0,1
19,4800000,2,62.4,7,16,2014.0,0,1,1,0,0,0,0,0,0,1,0
20,18480000,4,136.0,4,10,2006.0,0,1,0,1,0,0,0,1,0,0,0
21,3000000,1,31.0,2,5,1961.0,1,0,0,1,0,0,0,0,1,0,0
22,1999000,1,37.0,1,9,1994.0,0,1,0,1,0,0,0,0,0,1,0
23,5700000,3,72.0,4,9,1981.0,0,1,0,1,0,0,0,0,0,1,0
24,8890000,2,61.6,3,25,2017.0,0,1,0,1,0,0,0,0,0,0,1
25,4050000,1,36.2,4,17,2019.0,0,1,0,1,0,0,0,0,0,0,1
26,4350000,2,52.0,1,3,2011.0,1,0,0,1,0,0,0,0,0,0,1
27,3550000,2,41.3,5,5,1969.0,1,0,0,1,0,0,0,0,1,0,0
28,3500000,1,35.6,14,14,1978.0,0,1,0,1,0,0,0,1,0,0,0
29,3830000,4,61.4,5,5,1972.0,1,0,1,0,0,1,0,0,0,0,0
30,3692000,1,40.0,3,20,2017.0,0,1,0,1,0,0,0,0,1,0,0
31,5700000,3,79.1,5,12,1975.0,0,1,0,1,0,1,0,0,0,0,0
32,3650000,1,35.0,2,5,1982.0,1,0,0,1,0,0,0,1,0,0,0
33,4500000,2,52.9,3,9,1986.0,0,1,1,0,0,0,0,0,1,0,0
34,2600000,2,47.1,5,5,1999.0,1,0,1,0,0,0,0,0,0,1,0
35,2000000,1,30.3,2,5,1980.0,1,0,1,0,0,0,0,0,0,1,0
36,3000000,1,38.0,7,10,2002.0,0,1,1,0,1,0,0,0,0,0,0
37,6400000,2,55.5,14,17,2006.0,1,0,1,0,0,1,0,0,0,0,0
38,3090000,1,34.3,8,10,1992.0,1,0,1,0,0,1,0,0,0,0,0
39,5000000,2,53.0,9,10,2008.0,0,1,1,0,0,1,0,0,0,0,0
40,3500000,2,44.7,3,5,1967.0,1,0,1,0,0,0,0,0,0,0,1
41,1900000,3,60.0,5,5,1972.0,1,0,1,0,0,0,0,0,1,0,0
42,4679000,2,54.0,4,10,1998.0,0,1,1,0,1,0,0,0,0,0,0
43,4550000,2,43.4,5,9,1984.0,0,1,0,1,0,0,0,0,0,0,1
44,3290000,3,61.4,3,10,1989.0,0,1,0,1,0,0,0,0,1,0,0
45,3500000,1,31.0,4,5,1970.0,1,0,0,1,1,0,0,0,0,0,0
46,3850000,2,48.9,5,5,1989.0,0,1,1,0,0,0,0,1,0,0,0
