id,from_id,likes,text
245,224681507,0,123
234,432019281,4,Когда будет турнир по Clash Royale?
234,405233033,4,Когда будет турнир по косынке?
234,206458372,3,вот бы била турнир по брал стартс
234,335668836,1,вступлю в сильный клан в Clash Royale
228,283841494,0,Ето я!!!😱😱😱
214,586134563,13,"Паша лучший, не сомневался!!!!"
210,6303325,1,Огонь! 😊
191,176509188,0,О это я
191,283841494,5,"Математики не так много, но после нее отчисляется половина группы на первом курсе🤔"
191,329414568,24,"Лучшее направление в галактике. 

Я за один год сделал больше, чем за 19 лет жизни. И окна ставил; и в чемпионате по написанию конспектов по БЖД на скорость первое место занял; и выучил языков больше, чем те ребята, которые на лингвистов пошли; сделал свою игру про ДВФУ; открыл своё предприятие; закрыл своё предприятие. 

А ещё лол, ну, Прикладная Информатика в Управлении сокращённо - ПИУ 🔫, по-моему, это сильнейший аргумент.

В общем, тут весело. Только сначала матанализ закончится, а потом кайфарик."
165,145662921,8,ИСИТ - огонь🔥💗
165,317384613,7,ИСИТ - огонь🔥🖤
165,649598897,6,ИСИТ -огонь🔥💙
165,427059695,8,ИСИТ- огонь 🔥💜
165,213261798,7,ИСИТ в сердечке❤
165,303156488,6,ИСИТ - огонь🔥💛
162,145662921,9,ИСИТ - огонь 🔥
162,317384613,9,ИСИТ - огонь 🔥🖤
162,539372049,7,ИСИТ - лучший вуз
162,7660555,6,ИСИТ - огонь 🔥
162,521060984,6,ИСИТ здесь
162,521060984,6,ИСИТ - ожонь
162,649598897,5,ИСИТ - огонь 🔥♥️
162,300468923,6,ИСИТ - пушька👍
162,213851167,5,ИСИТ - огонь 🔥
162,482410420,6,ИСИТ лучший ❤️‍🔥
126,6303325,3,Сделано в ИМКТ
126,383446997,3,Лучшие! Делаете наш вуз и иститут лучше!
108,224681507,0,го турик по hl2 dm :)
108,247227509,0,Надо приходить со своей командой или там будет собираться рандомный стак
108,554945804,0,Ща бы турниры по мертвым играм устраивать
108,150609591,0,"А какие сурс-порты для тех или иных игр? У Q3 и Q2 соответственно есть по несколько портов для разных платформ, со своими фичами"
97,6303325,2,Сделано в ИМКТ. imctech.ru
97,222647121,3,"Ну и конечно, спасибо фотографам😉"
97,318633657,0,"А че, уже закончилось ? 😹"
91,6303325,3,"Сделано в ИМКТ, придумано в ВИ-ШРМИ 😉"
85,6303325,5,Сделано в ИМКТ
85,6303325,2,Было очень круто! 😊
83,6303325,0,"Не стесняйтесь спрашивать, что это за штука такая 🤗"
83,6303325,1,Сделано в ИМКТ
74,180190869,2,"Друзья, спасибо за вашу активность! Регистрация на треки Программирование и Геймдизайн завершена. Успейте подать заявки на Игровой арт сегодня до 23.59👾"
66,6303325,5,Сделано в ИМКТ
17,567222532,0,Поправка в пункте про работу медпункта. Можете сегодня уже не приходить. Ни один из кабинетов для вакцинации не работает
12,453334071,11,Та за шо
