id,date_UNIX,date_MSK,likes,views,reposts,comments,describe
245,1655358478,2022-06-16 17:47:58,8,419,3,4,"Летняя школа фонда «Институт ""Вега""». 
 
C 4 июля по 10 июля 2022 года Фонд содействия развитию науки «Институт финансовой и актуальной математики ""Вега""» проводит Летнюю школу ""QUANTATON 2022"". 
 
Школа пройдет в формате недельного интенсива-знакомства с современной финансовой математикой, машинным обучением и блокчейн технологиями от признанных экспертов Сколтеха, глобальной крипто инвестиционной фирмы Hash CIB и Университета Карнеги-Меллона. 
 
Приглашаем к участию на конкурсной основе студентов 2–4 курсов бакалавриата и специалитета Института математики и компьютерных технологий ДВФУ по направлениям “Математика”, “Информационные технологии” и смежным областям. 
 
Участие студентов в школе бесплатное: проезд по России до места проведения школы и обратно, питание и проживание в историческом кампусе Кочубей Центра обеспечиваются организаторами. 
 
Сроки подачи заявок: до 22 июня включительно. 
Подробная информация о Летней школе и процессе отбора на сайте: https://vega-school.org/"
243,1655281046,2022-06-15 20:17:26,11,482,2,0,"Надеемся, ты уже зарегистрировался на великий и могучий Вездекод, но если нет – этот пост для тебя

Участников ждут задания по разными направлениям и уровням сложности, а также конкурсами и викторинами. 
 
Участвовать можно вживую во Владивостоке на площадке Дальневосточного федерального университета или онлайн — соревнования пройдут в двух форматах параллельно. 
 
Для участия всего три условия: ты свободно говоришь по-русски, уже отметил 14-летие и часовой пояс МСК+7 (UTC+10) тебе подходит. 
 
Объединяйтесь в команды: в них может быть от одного до четырёх человек. Шансы на победу выше, если в одной команде специалисты разных профилей. 
 
За победу в «Вездекоде» — 100 000 рублей. А топ-5 лучших команд позовем на главный финал в Санкт-Петербург, где победители разделят общий призовой фонд — 1 000 000 рублей. 
 
Узнай еще больше подробностей и заполни анкету участника: https://vk.com/vezdekod"
234,1654996334,2022-06-12 13:12:14,19,875,25,7,"Турниры по играм показывают, что играть в ИМКТ любят и умеют, поэтому мы решили провести ещё одно соревнование для любителей игр, в этот раз по Quake/Xonotic. 
 
Мы хотим познакомить студентов института с классными игровыми дисциплинами, и сами познакомиться с теми, кто заинтересован в таких играх. Мы уверены, что для комфортной коммуникации нужны очные встречи, поэтому мы проводим турнир именно на кампусе. 
 
Вы можете играть как на своём устройстве, так и использовать компьютеры, которые стоят в аудиториях, мы подготовим их заранее. не забудь зарегистрироваться, чтобы мы подготовили площадку.
 
Итак, финализируем, турнир пройдёт 18 июня, в аудитории G468, начало в 13:00 
Регистрируйся по ссылке: https://forms.gle/JssdM62MKggvdYu48 

#имкт_пати"
233,1654905600,2022-06-11 12:00:00,9,512,1,0,"VI Всероссийская конференция с международным участием, ITES-2022. 
 
3–7 октября в ДВФУ пройдёт конференция, посвященная информационным технологиям для наук о Земле и цифровизации в геологии и горнодобывающей промышленности. 
 
Помимо нашего университета и института в качестве организаторов выступают: отделение наук о Земле РАН, академия горных наук и государственный геологический музей им. В. И. Вернадского РАН. 
 
Цель конференции: привлечь во Владивосток ведущих исследователей и экспертов из различных организаций РФ для обмена знаниями и опытом и обсуждения возможностей сотрудничества.
 
Задачи конференции покрывают весь спектр вопросов, связанных с поиском и разведкой месторождений полезных ископаемых. Она поспособствует повышению эффективности использования результатов научной деятельности органами исполнительной власти и организациями, связанными с контролем и управлением природными ресурсами, предупреждением и ликвидацией последствий чрезвычайных природных и антропогенных ситуаций, проектно-изыскательскими работами. 
 
Регистрация участников и подача тезисов открыты до 30 июня. 
Сайт конференции: http://ites2022.sgm.ru/"
228,1654822944,2022-06-10 13:02:24,14,657,6,3,"Помнишь, Сбер [https://vk.com/imct_fefu?w=wall-206944280_210|проводил анкетирование] и призы обещал? Пришло время их забирать! 
 
Список счастливчиков: 
[id283841494|Влад Коробов] получает книгу и футболку; 
[id273261010|Артём Безроднов] - книгу, блокнот и ручку; 
[id379606213|Катерина Носенкова] - книгу, блокнот и ручку; 
[id206458372|Макс Гринёв] - книгу и термобутылку. 
 
Забрать подарки можно в G525, сотрудники помогут тебе найти нужный пакет.
По возникшим вопросам пиши [id88026777|Яне], она поможет."
227,1654644189,2022-06-08 11:23:09,12,429,1,0,
226,1654601400,2022-06-07 23:30:00,10,503,1,0,"Дружеская IT-битва пройдет в ДВФУ.
 
Science Slam Владивосток совместно с Russky Digital проведут свой первый IT Slam, где в роли спикеров выступят специалисты из IT-направлений. 
 
На этот раз в интеллектуальной битве сразятся представители компаний Rhonda Software, МегаФон, FEIP и ДВФУ. 

За десять минут участники расскажут о своих разработках, поделятся реальным опытом и даже факапами. А победителя определим с помощью твоих аплодисментов.
 
– 9 июня, 18:00
– В корпус, главный холл

Для тех, кто не сможет присутствовать очно, мы сделаем онлайн трансляцию.

Если ты с нами, регистрируйся по ссылке: https://m-art-events.timepad.ru/event/2021947/"
224,1654495986,2022-06-06 18:13:06,9,367,1,0,
223,1654072453,2022-06-01 20:34:13,7,558,4,0,
222,1653973202,2022-05-31 17:00:02,26,790,3,0,"Завершилась весенняя школа наставников от ИМКТ, пришло время подвести итоги

За 3 дня обучения участники:
– узнали как быть лидером, какими чертами он должен обладать, выделили у себя лидерские качества;
– поняли, что такое эмоциональный интеллект и как с ним работать;
– вспомнили, что такое этика, узнали какие правила входят в этику наставника, какими навыками он должен владеть и какую работу выполнять;
– прошли ориентирование по кампусу и вспомнили, где что находится;
– научились разбирать конфликтные ситуации и немного погрузились в мир психологии, чтобы в случае чего знать, как помочь первокурснику;
– Освежили свои знания в тайм-менеджменте, а некоторые выделили для себя новые техники планирования, которые помогут не только в работе наставника, но и в повседневной жизни. 

В общем, обучение в было интенсивным, а его финалом был экзамен по всему пройдённому материалу. Уже совсем скоро пройдёт обучение наставников всего ДВФУ, там полезного будет много, не пропусти.
 
За проведение лекций спасибо [club205083267|Корпусу Тренеров ОСС] и [id132867505|Анне Синягиной].

Фотографии ищи в альбоме: https://vk.com/album-206944280_284400659"
220,1653897600,2022-05-30 20:00:00,26,774,3,0,"Турнир по спортивному программированию для начинающих кодеров и тех, кто уже профи в этом деле.

Наградим 20 лучших команд: 
— топ-10 команд до 18 лет 
— топ-10 команд старше 18
 
Регистрация открыта до 3 июня включительно: vk.cc/cdARJr 
 
Спортивное программирование — интеллектуальная игра в одном ряду с шахматами или сборкой кубика Рубика на скорость. Цель — на скорость и безошибочно найти решение проблемы, обойдя конкурентов. А еще спортивное программирование – социальный лифт в IT. 
 
— Кто может участвовать: 
Команды до 3-х человек от 0 до 23 лет: и студенты, и школьники и вообще любой, кто хоть немного увлекается спортивным программированием. 

— Как устроен турнир: 
5 июня все зарегистрированные команды собираются очно на специальной CODE work-арене во Владивостоке, на 4 уровне в А корпусе кампуса ДВФУ на острове Русский. 
 
— Правила турнира: 
Правила составлены на основе 1/4 ICPC (International Collegiate Programming Contest): решение задач командой на скорость в течение 5 часов на специальной платформе CATS. 
 
— Таймлайн 
16 мая - 3 июня: регистрация команд 
5 июня: старт турнира 

Приходи сразиться за звание чемпиона CODE work challenge и выиграть крутые призы. 

Еще больше подробностей в официальном сообществе: https://vk.com/codeworkchallenge"
