,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,Link
0,4250000,1,40,13,25,балкон,совмещенный,2019,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_1325et._2382679587
1,4000000,3,61.7,3,5,балкон,раздельный,1977,https://www.avito.ru/perm/kvartiry/3-k._kvartira_617m_35et._2343330669
2,2950000,2,44,9,9,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_99et._2357293165
3,6990000,3,67.7,5,16,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_677m_516et._2370833094
4,6990000,2,44.9,16,25,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_449m_1625et._2389841914
5,3700000,1,50,2,19,лоджия,совмещенный,2020,https://www.avito.ru/perm/kvartiry/1-k._kvartira_50m_219et._2348936541
6,4300000,3,67,5,9,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_67m_59et._2360731776
7,4100000,2,40,4,4,лоджия,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_44et._2408351806
8,2890000,1,25.5,4,4,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/kvartira-studiya_255m_610et._2374224274
9,2950000,1,44,4,16,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_44m_416et._2372002031
10,3300000,1,43.8,15,16,балкон,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_438m_1516et._2389419507
11,13800000,4,105,3,10,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_105m_310et._2421619620
12,3650000,1,36.9,4,10,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_369m_410et._2317366727
13,8050000,3,80.3,10,16,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_803m_1016et._2287000446
14,8500000,3,85,3,3,балкон,,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_85m_33et._2389851897
15,3400000,2,41.2,2,5,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_412m_25et._2389252167
16,2990000,1,34.1,4,9,лоджия,совмещенный,1986,https://www.avito.ru/perm/kvartiry/1-k._kvartira_341m_49et._2393132882
17,5200000,2,51.9,10,10,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_519m_1010et._2366568876
18,11850000,1,апартаменты,10,10,лоджия,раздельный,2018,https://www.avito.ru/perm/kvartiry/3-k._apartamenty_108m_23et._2342767331
19,4650000,3,67.7,5,9,балкон,раздельный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_677m_59et._2370354306
20,2600000,1,34,2,5,балкон,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_25et._2389675430
21,4650000,2,62,5,5,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_55et._2357724223
22,3150000,2,49.3,3,12,лоджия,совмещенный,1982,https://www.avito.ru/perm/kvartiry/2-k._kvartira_493m_312et._2250309842
23,3580000,2,43.9,8,9,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_439m_89et._2325222525
24,3590000,1,35.6,7,10,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_356m_710et._2378401882
25,3050000,2,42.8,3,9,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_428m_39et._2389337446
26,4999900,2,55,5,5,балкон,совмещенный,1952,https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_55et._2386462380
27,3700000,1,41,15,17,лоджия,совмещенный,2016,https://www.avito.ru/perm/kvartiry/1-k._kvartira_41m_1517et._2384582446
28,4450000,2,54.2,2,16,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_542m_216et._2357545992
29,3200000,2,50.2,6,10,балкон,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_502m_610et._2389276941
30,15500000,3,118.4,2,6,балкон,раздельный,2014,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1184m_26et._2358670622
31,3750000,4,83,2,4,,раздельный,,https://www.avito.ru/perm/kvartiry/4-k._kvartira_83m_24et._2401275910
32,2650000,1,30.6,5,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_306m_55et._2393042901
33,6974000,3,63,7,22,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_722et._2351339882
34,3000000,1,34.6,4,9,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_346m_49et._2273041029
35,3150000,2,45,5,5,балкон,совмещенный,1966,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_55et._2394298623
36,2960000,1,32.1,4,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_321m_45et._2340193723
